番号,部隊コード,部隊名,上級部隊コード,配置区分,役職,所属区分,軍種,階級,氏名,性別,備考,異常の有無,理由等
77,3Co,第3中隊,1i,,中隊長,主務,陸,3佐,宮崎 勇,男,,,
78,3Co_Dep,副中隊長,3Co,assistant,副中隊長,主務,陸,1尉,小西 修,男,,,
79,3Co_CSM,最先任,3Co,assistant,最先任,主務,陸,曹長,内山 茂,男,,,
80,3Co1Pt,第1小隊,3Co,,小隊長,主務,陸,2尉,秋山 健,男,,,
81,3Co1Pt,第1小隊,3Co,assistant,小隊陸曹,主務,陸,1曹,原田 翔,男,,,
82,3Co1Pt1Sq,第1班,3Co1Pt,,班長,主務,陸,2曹,酒井 慎太郎,男,,,
83,3Co1Pt1Sq,第1班,3Co1Pt,,小銃手,主務,陸,3曹,篠原 航,男,,,
84,3Co1Pt1Sq,第1班,3Co1Pt,,小銃手,主務,陸,士長,市川 陸,男,,,
85,3Co1Pt1Sq,第1班,3Co1Pt,,小銃手,主務,陸,1士,大西 太陽,男,,,
86,3Co1Pt2Sq,第2班,3Co1Pt,,班長,主務,陸,2曹,五十嵐 健,男,,,
87,3Co1Pt2Sq,第2班,3Co1Pt,,小銃手,主務,陸,3曹,工藤 翔太,男,,,
88,3Co1Pt2Sq,第2班,3Co1Pt,,小銃手,主務,陸,士長,山根 涼,男,,,
89,3Co1Pt2Sq,第2班,3Co1Pt,,小銃手,主務,陸,2士,河野 剛,男,,,
90,3Co2Pt,第2小隊,3Co,,小隊長,主務,陸,3尉,久保 大樹,男,,,
91,3Co2Pt,第2小隊,3Co,assistant,小隊陸曹,主務,陸,1曹,松村 誠,男,,,
92,3Co2Pt1Sq,第1班,3Co2Pt,,班長,主務,陸,2曹,野口 拓海,男,,,
93,3Co2Pt1Sq,第1班,3Co2Pt,,小銃手,主務,陸,3曹,森 裕,男,,,
94,3Co2Pt1Sq,第1班,3Co2Pt,,小銃手,主務,陸,士長,大橋 美海,女,,,
95,3Co2Pt1Sq,第1班,3Co2Pt,,小銃手,主務,陸,1士,山口 剛,男,,,
96,3Co2Pt2Sq,第2班,3Co2Pt,,班長,主務,陸,2曹,小野 健太,男,,,
97,3Co2Pt2Sq,第2班,3Co2Pt,,小銃手,主務,陸,3曹,石川 慎吾,男,,,
98,3Co2Pt2Sq,第2班,3Co2Pt,,小銃手,主務,陸,士長,中田 翔,男,,,
99,3Co2Pt2Sq,第2班,3Co2Pt,,小銃手,主務,陸,2士,高木 太陽,男,,,
100,3Co2Pt2Sq,第2班,3Co2Pt,,支援,主務,陸,1士,西山 歩,男,,,
101,3Co2Pt2Sq,第2班,3Co2Pt,,支援,主務,陸,1士,白石 誠,男,,,
